MFCCs 30% Test 70% Train 
0.307 (+/-0.107) para {'activation': 'identity', 'batch_size': 150, 'hidden_layer_sizes': (25, 25), 'learning_rate_init': 0.0001, 'solver': 'adam'}
0.904 (+/-0.029) para {'activation': 'identity', 'batch_size': 150, 'hidden_layer_sizes': (25, 25), 'learning_rate_init': 0.0001, 'solver': 'lbfgs'}
0.230 (+/-0.155) para {'activation': 'identity', 'batch_size': 150, 'hidden_layer_sizes': (25, 25), 'learning_rate_init': 0.0001, 'solver': 'sgd'}
0.827 (+/-0.091) para {'activation': 'identity', 'batch_size': 150, 'hidden_layer_sizes': (50, 50), 'learning_rate_init': 1, 'solver': 'adam'}
0.903 (+/-0.026) para {'activation': 'identity', 'batch_size': 150, 'hidden_layer_sizes': (50, 50), 'learning_rate_init': 1, 'solver': 'lbfgs'}
0.243 (+/-0.089) para {'activation': 'identity', 'batch_size': 150, 'hidden_layer_sizes': (50, 50), 'learning_rate_init': 1, 'solver': 'sgd'}
0.865 (+/-0.043) para {'activation': 'identity', 'batch_size': 150, 'hidden_layer_sizes': (50, 50), 'learning_rate_init': 0.1, 'solver': 'adam'}
0.904 (+/-0.029) para {'activation': 'identity', 'batch_size': 150, 'hidden_layer_sizes': (50, 50), 'learning_rate_init': 0.1, 'solver': 'lbfgs'}
0.895 (+/-0.018) para {'activation': 'identity', 'batch_size': 150, 'hidden_layer_sizes': (50, 50), 'learning_rate_init': 0.1, 'solver': 'sgd'}
0.885 (+/-0.039) para {'activation': 'identity', 'batch_size': 150, 'hidden_layer_sizes': (50, 50), 'learning_rate_init': 0.001, 'solver': 'adam'}
0.904 (+/-0.027) para {'activation': 'identity', 'batch_size': 150, 'hidden_layer_sizes': (50, 50), 'learning_rate_init': 0.001, 'solver': 'lbfgs'}
0.830 (+/-0.013) para {'activation': 'identity', 'batch_size': 150, 'hidden_layer_sizes': (50, 50), 'learning_rate_init': 0.001, 'solver': 'sgd'}
0.743 (+/-0.127) para {'activation': 'identity', 'batch_size': 150, 'hidden_layer_sizes': (50, 50), 'learning_rate_init': 0.0001, 'solver': 'adam'}
0.904 (+/-0.029) para {'activation': 'identity', 'batch_size': 150, 'hidden_layer_sizes': (50, 50), 'learning_rate_init': 0.0001, 'solver': 'lbfgs'}
0.398 (+/-0.522) para {'activation': 'identity', 'batch_size': 150, 'hidden_layer_sizes': (50, 50), 'learning_rate_init': 0.0001, 'solver': 'sgd'}
0.515 (+/-0.395) para {'activation': 'logistic', 'batch_size': 15, 'hidden_layer_sizes': (10, 10), 'learning_rate_init': 1, 'solver': 'adam'}
0.873 (+/-0.060) para {'activation': 'logistic', 'batch_size': 15, 'hidden_layer_sizes': (10, 10), 'learning_rate_init': 1, 'solver': 'lbfgs'}
0.860 (+/-0.036) para {'activation': 'logistic', 'batch_size': 15, 'hidden_layer_sizes': (10, 10), 'learning_rate_init': 1, 'solver': 'sgd'}
0.875 (+/-0.047) para {'activation': 'logistic', 'batch_size': 15, 'hidden_layer_sizes': (10, 10), 'learning_rate_init': 0.1, 'solver': 'adam'}
0.872 (+/-0.047) para {'activation': 'logistic', 'batch_size': 15, 'hidden_layer_sizes': (10, 10), 'learning_rate_init': 0.1, 'solver': 'lbfgs'}
0.889 (+/-0.030) para {'activation': 'logistic', 'batch_size': 15, 'hidden_layer_sizes': (10, 10), 'learning_rate_init': 0.1, 'solver': 'sgd'}
0.748 (+/-0.207) para {'activation': 'logistic', 'batch_size': 15, 'hidden_layer_sizes': (10, 10), 'learning_rate_init': 0.001, 'solver': 'adam'}
0.880 (+/-0.022) para {'activation': 'logistic', 'batch_size': 15, 'hidden_layer_sizes': (10, 10), 'learning_rate_init': 0.001, 'solver': 'lbfgs'}
0.192 (+/-0.023) para {'activation': 'logistic', 'batch_size': 15, 'hidden_layer_sizes': (10, 10), 'learning_rate_init': 0.001, 'solver': 'sgd'}
0.202 (+/-0.015) para {'activation': 'logistic', 'batch_size': 15, 'hidden_layer_sizes': (10, 10), 'learning_rate_init': 0.0001, 'solver': 'adam'}
0.879 (+/-0.026) para {'activation': 'logistic', 'batch_size': 15, 'hidden_layer_sizes': (10, 10), 'learning_rate_init': 0.0001, 'solver': 'lbfgs'}
0.199 (+/-0.015) para {'activation': 'logistic', 'batch_size': 15, 'hidden_layer_sizes': (10, 10), 'learning_rate_init': 0.0001, 'solver': 'sgd'}
0.548 (+/-0.177) para {'activation': 'logistic', 'batch_size': 15, 'hidden_layer_sizes': (25, 25), 'learning_rate_init': 1, 'solver': 'adam'}
0.911 (+/-0.026) para {'activation': 'logistic', 'batch_size': 15, 'hidden_layer_sizes': (25, 25), 'learning_rate_init': 1, 'solver': 'lbfgs'}
0.870 (+/-0.041) para {'activation': 'logistic', 'batch_size': 15, 'hidden_layer_sizes': (25, 25), 'learning_rate_init': 1, 'solver': 'sgd'}
0.890 (+/-0.036) para {'activation': 'logistic', 'batch_size': 15, 'hidden_layer_sizes': (25, 25), 'learning_rate_init': 0.1, 'solver': 'adam'}
0.924 (+/-0.034) para {'activation': 'logistic', 'batch_size': 15, 'hidden_layer_sizes': (25, 25), 'learning_rate_init': 0.1, 'solver': 'lbfgs'}
0.886 (+/-0.028) para {'activation': 'logistic', 'batch_size': 15, 'hidden_layer_sizes': (25, 25), 'learning_rate_init': 0.1, 'solver': 'sgd'}
0.859 (+/-0.114) para {'activation': 'logistic', 'batch_size': 15, 'hidden_layer_sizes': (25, 25), 'learning_rate_init': 0.001, 'solver': 'adam'}
0.925 (+/-0.031) para {'activation': 'logistic', 'batch_size': 15, 'hidden_layer_sizes': (25, 25), 'learning_rate_init': 0.001, 'solver': 'lbfgs'}
0.319 (+/-0.296) para {'activation': 'logistic', 'batch_size': 15, 'hidden_layer_sizes': (25, 25), 'learning_rate_init': 0.001, 'solver': 'sgd'}
0.293 (+/-0.354) para {'activation': 'logistic', 'batch_size': 15, 'hidden_layer_sizes': (25, 25), 'learning_rate_init': 0.0001, 'solver': 'adam'}
0.918 (+/-0.016) para {'activation': 'logistic', 'batch_size': 15, 'hidden_layer_sizes': (25, 25), 'learning_rate_init': 0.0001, 'solver': 'lbfgs'}
0.206 (+/-0.010) para {'activation': 'logistic', 'batch_size': 15, 'hidden_layer_sizes': (25, 25), 'learning_rate_init': 0.0001, 'solver': 'sgd'}
0.586 (+/-0.185) para {'activation': 'logistic', 'batch_size': 15, 'hidden_layer_sizes': (50, 50), 'learning_rate_init': 1, 'solver': 'adam'}
0.924 (+/-0.025) para {'activation': 'logistic', 'batch_size': 15, 'hidden_layer_sizes': (50, 50), 'learning_rate_init': 1, 'solver': 'lbfgs'}
0.845 (+/-0.087) para {'activation': 'logistic', 'batch_size': 15, 'hidden_layer_sizes': (50, 50), 'learning_rate_init': 1, 'solver': 'sgd'}
0.875 (+/-0.014) para {'activation': 'logistic', 'batch_size': 15, 'hidden_layer_sizes': (50, 50), 'learning_rate_init': 0.1, 'solver': 'adam'}
0.920 (+/-0.019) para {'activation': 'logistic', 'batch_size': 15, 'hidden_layer_sizes': (50, 50), 'learning_rate_init': 0.1, 'solver': 'lbfgs'}
