MFCCs 30% Test 70% Train 
0.297 (+/-0.052) para {'C': 0.01, 'gamma': 1, 'kernel': 'linear'}
0.381 (+/-0.092) para {'C': 0.1, 'gamma': 1, 'kernel': 'linear'}
0.439 (+/-0.068) para {'C': 1, 'gamma': 1, 'kernel': 'linear'}
0.520 (+/-0.047) para {'C': 10, 'gamma': 1, 'kernel': 'linear'}
0.638 (+/-0.031) para {'C': 100, 'gamma': 1, 'kernel': 'linear'}
0.731 (+/-0.039) para {'C': 1000, 'gamma': 1, 'kernel': 'linear'}
0.803 (+/-0.040) para {'C': 10000, 'gamma': 1, 'kernel': 'linear'}
TOTAL 25% Test 75% Train linear 
0.256 (+/-0.021) para {'C': 0.0001, 'gamma': 1, 'kernel': 'linear'}
0.669 (+/-0.034) para {'C': 0.001, 'gamma': 1, 'kernel': 'linear'}
0.850 (+/-0.031) para {'C': 0.01, 'gamma': 1, 'kernel': 'linear'}
0.907 (+/-0.029) para {'C': 0.1, 'gamma': 1, 'kernel': 'linear'}
0.904 (+/-0.039) para {'C': 1, 'gamma': 1, 'kernel': 'linear'}
0.890 (+/-0.042) para {'C': 10, 'gamma': 1, 'kernel': 'linear'}
0.880 (+/-0.038) para {'C': 100, 'gamma': 1, 'kernel': 'linear'}
0.869 (+/-0.058) para {'C': 1000, 'gamma': 1, 'kernel': 'linear'}
0.867 (+/-0.046) para {'C': 10000, 'gamma': 1, 'kernel': 'linear'}
MFCCs1 25% Test 75% Train linear 
0.315 (+/-0.099) para {'C': 0.0001, 'gamma': 1, 'kernel': 'linear'}
0.373 (+/-0.135) para {'C': 0.001, 'gamma': 1, 'kernel': 'linear'}
0.363 (+/-0.086) para {'C': 0.01, 'gamma': 1, 'kernel': 'linear'}
0.421 (+/-0.084) para {'C': 0.1, 'gamma': 1, 'kernel': 'linear'}
0.375 (+/-0.035) para {'C': 1, 'gamma': 1, 'kernel': 'linear'}
0.361 (+/-0.042) para {'C': 10, 'gamma': 1, 'kernel': 'linear'}
0.361 (+/-0.042) para {'C': 100, 'gamma': 1, 'kernel': 'linear'}
0.361 (+/-0.042) para {'C': 1000, 'gamma': 1, 'kernel': 'linear'}
